month,bloc,pct_conflictual,n,month_ts
2024-08,Gauche radicale,0.09090909090909091,99,2024-08-01
2024-09,Centre / Majorite,0.0,15,2024-09-01
2024-09,Droite,0.05263157894736842,19,2024-09-01
2024-09,Gauche moderee,0.09523809523809523,21,2024-09-01
2024-09,Gauche radicale,0.16444444444444445,225,2024-09-01
2024-10,Centre / Majorite,0.14285714285714285,70,2024-10-01
2024-10,Droite,0.06521739130434782,92,2024-10-01
2024-10,Gauche moderee,0.17391304347826086,23,2024-10-01
2024-10,Gauche radicale,0.12,250,2024-10-01
2024-11,Centre / Majorite,0.13333333333333333,30,2024-11-01
2024-11,Droite,0.18604651162790697,43,2024-11-01
2024-11,Gauche moderee,0.05263157894736842,38,2024-11-01
2024-11,Gauche radicale,0.13875598086124402,209,2024-11-01
2024-12,Centre / Majorite,0.16666666666666666,6,2024-12-01
2024-12,Droite,0.06666666666666667,15,2024-12-01
2024-12,Gauche moderee,0.1,10,2024-12-01
2024-12,Gauche radicale,0.11650485436893204,103,2024-12-01
2025-01,Centre / Majorite,0.04878048780487805,41,2025-01-01
2025-01,Droite,0.0967741935483871,31,2025-01-01
2025-01,Gauche moderee,0.10344827586206896,29,2025-01-01
2025-01,Gauche radicale,0.16055045871559634,218,2025-01-01
2025-02,Centre / Majorite,0.18181818181818182,44,2025-02-01
2025-02,Droite,0.08888888888888889,45,2025-02-01
2025-02,Gauche moderee,0.08333333333333333,12,2025-02-01
2025-02,Gauche radicale,0.08108108108108109,74,2025-02-01
2025-03,Centre / Majorite,0.14893617021276595,47,2025-03-01
2025-03,Droite,0.0,41,2025-03-01
2025-03,Gauche moderee,0.3333333333333333,18,2025-03-01
2025-03,Gauche radicale,0.1390728476821192,151,2025-03-01
2025-04,Centre / Majorite,0.07692307692307693,26,2025-04-01
2025-04,Droite,0.08333333333333333,24,2025-04-01
2025-04,Gauche moderee,0.21428571428571427,14,2025-04-01
2025-04,Gauche radicale,0.13043478260869565,230,2025-04-01
2025-05,Centre / Majorite,0.09836065573770492,122,2025-05-01
2025-05,Droite,0.10810810810810811,74,2025-05-01
2025-05,Gauche moderee,0.14,50,2025-05-01
2025-05,Gauche radicale,0.1262135922330097,309,2025-05-01
2025-06,Centre / Majorite,0.11206896551724138,116,2025-06-01
2025-06,Droite,0.06930693069306931,101,2025-06-01
2025-06,Gauche moderee,0.19298245614035087,57,2025-06-01
2025-06,Gauche radicale,0.16605839416058393,548,2025-06-01
2025-07,Centre / Majorite,0.0967741935483871,31,2025-07-01
2025-07,Droite,0.14285714285714285,77,2025-07-01
2025-07,Gauche moderee,0.05714285714285714,35,2025-07-01
2025-07,Gauche radicale,0.11239193083573487,347,2025-07-01
2025-08,Centre / Majorite,0.07142857142857142,14,2025-08-01
2025-08,Droite,0.09090909090909091,22,2025-08-01
2025-08,Gauche moderee,0.25,20,2025-08-01
2025-08,Gauche radicale,0.07874015748031496,127,2025-08-01
2025-09,Centre / Majorite,0.0,21,2025-09-01
2025-09,Droite,0.0425531914893617,47,2025-09-01
2025-09,Gauche moderee,0.10526315789473684,57,2025-09-01
2025-09,Gauche radicale,0.08454810495626822,343,2025-09-01
2025-10,Centre / Majorite,0.12280701754385964,57,2025-10-01
2025-10,Droite,0.175,40,2025-10-01
2025-10,Gauche moderee,0.2,10,2025-10-01
2025-10,Gauche radicale,0.10384615384615385,260,2025-10-01
2025-11,Centre / Majorite,0.1,10,2025-11-01
2025-11,Droite,0.0,17,2025-11-01
2025-11,Gauche moderee,0.0,19,2025-11-01
2025-11,Gauche radicale,0.06930693069306931,101,2025-11-01
2025-12,Centre / Majorite,0.21428571428571427,14,2025-12-01
2025-12,Droite,0.09090909090909091,11,2025-12-01
2025-12,Gauche moderee,0.0,15,2025-12-01
2025-12,Gauche radicale,0.12371134020618557,97,2025-12-01
2026-01,Centre / Majorite,0.0,8,2026-01-01
2026-01,Gauche radicale,0.1095890410958904,73,2026-01-01
