month,pair,dist
2025-04,Gauche radicale vs Droite,0.3148960542737652
2025-04,Gauche moderee vs Centre / Majorite,0.26752920731606755
2025-04,Gauche moderee vs Droite,0.39735527358461353
2025-04,Centre / Majorite vs Droite,0.363649483340733
2025-05,Gauche radicale vs Gauche moderee,0.154316259795651
2025-05,Gauche radicale vs Centre / Majorite,0.16035648653648915
2025-05,Gauche radicale vs Droite,0.22885140155971584
2025-05,Gauche moderee vs Centre / Majorite,0.18638851698882675
2025-05,Gauche moderee vs Droite,0.2756788490993908
2025-05,Centre / Majorite vs Droite,0.14274529403111236
2025-06,Gauche radicale vs Gauche moderee,0.13857434965168247
2025-06,Gauche radicale vs Centre / Majorite,0.15898319566552244
2025-06,Gauche radicale vs Droite,0.21580958270284523
2025-06,Gauche moderee vs Centre / Majorite,0.16346140417823052
2025-06,Gauche moderee vs Droite,0.23444136310969987
2025-06,Centre / Majorite vs Droite,0.16504643791581752
2025-07,Gauche radicale vs Gauche moderee,0.1602739816200105
2025-07,Gauche radicale vs Centre / Majorite,0.260319517797306
2025-07,Gauche radicale vs Droite,0.23668270069583852
2025-07,Gauche moderee vs Centre / Majorite,0.3204844707937551
2025-07,Gauche moderee vs Droite,0.30351021711158455
2025-07,Centre / Majorite vs Droite,0.2056004877463561
2025-08,Gauche radicale vs Gauche moderee,0.21360107081045354
2025-08,Gauche radicale vs Centre / Majorite,0.2671808063696768
2025-08,Gauche radicale vs Droite,0.27477254533070306
2025-08,Gauche moderee vs Centre / Majorite,0.3236520764933054
2025-08,Gauche moderee vs Droite,0.35910256249246364
2025-08,Centre / Majorite vs Droite,0.24976897797990683
2025-09,Gauche radicale vs Gauche moderee,0.14802067460802548
2025-09,Gauche radicale vs Centre / Majorite,0.2955697650046867
2025-09,Gauche radicale vs Droite,0.2791616519825173
2025-09,Gauche moderee vs Centre / Majorite,0.27433402540850205
2025-09,Gauche moderee vs Droite,0.27550079301685537
2025-09,Centre / Majorite vs Droite,0.3253768743274741
2025-10,Gauche radicale vs Gauche moderee,0.4033544397459742
2025-10,Gauche radicale vs Centre / Majorite,0.20976563672788562
2025-10,Gauche radicale vs Droite,0.22750658397857737
2025-10,Gauche moderee vs Centre / Majorite,0.2786535642759892
2025-10,Gauche moderee vs Droite,0.3366234363410756
2025-10,Centre / Majorite vs Droite,0.17153899572649967
2025-11,Gauche radicale vs Gauche moderee,0.24636249109035357
2025-11,Gauche radicale vs Centre / Majorite,0.24869969065919895
2025-11,Gauche radicale vs Droite,0.24831410565058043
2025-11,Gauche moderee vs Centre / Majorite,0.29025150307662617
2025-11,Gauche moderee vs Droite,0.31629013313216514
2025-11,Centre / Majorite vs Droite,0.3550515545821985
2025-12,Gauche radicale vs Gauche moderee,0.2525835283554573
2025-12,Gauche radicale vs Centre / Majorite,0.24275006075611882
2025-12,Gauche radicale vs Droite,0.29127783739663615
2025-12,Gauche moderee vs Centre / Majorite,0.21484487083356785
2025-12,Gauche moderee vs Droite,0.31879316647777933
2025-12,Centre / Majorite vs Droite,0.2853324831719507
2026-01,Gauche radicale vs Centre / Majorite,0.46427898606809703
