bloc,target_primary,n,pct
Centre / Majorite,FRANCE_INSOUmise,1,0.11
Centre / Majorite,FRANÇAIS_RAPATRIES,1,0.11
Centre / Majorite,FRENCH_GOV,1,0.11
Centre / Majorite,GAUCHE,1,0.11
Centre / Majorite,GAZA_INHABITANTS,1,0.11
Centre / Majorite,GAZA_POPULATION,1,0.11
Centre / Majorite,GEORGES_IBRAHIM_ABDALLAH,1,0.11
Centre / Majorite,GOUVERNEMENT_FRANCAIS,1,0.11
Centre / Majorite,GOVERNMENT,1,0.11
Centre / Majorite,GOV_OTHER,1,0.11
Centre / Majorite,GUIRAUD_BERNALICIS,1,0.11
Centre / Majorite,Gaza,1,0.11
Centre / Majorite,HAMAS,274,29.88
Centre / Majorite,HATERS_ON_CAMPUSES,1,0.11
Centre / Majorite,HEZBOLLAH,2,0.22
Centre / Majorite,HOSTAGES,2,0.22
Centre / Majorite,HOUTIS,1,0.11
Centre / Majorite,HUMANI'TERRE,1,0.11
Centre / Majorite,ICC,1,0.11
Centre / Majorite,INTERNATIONAL_COMMUNITY,1,0.11
Centre / Majorite,IRAN,16,1.74
Centre / Majorite,ISLAMISM,2,0.22
Centre / Majorite,ISRAEL,83,9.05
Centre / Majorite,ISRAELIS,1,0.11
Centre / Majorite,ISRAELI_CITIZENS,1,0.11
Centre / Majorite,ISRAELI_CIVILIANS,1,0.11
Centre / Majorite,ISRAELI_HOSTAGES,1,0.11
Centre / Majorite,ISRAELI_LEADERS,1,0.11
Centre / Majorite,ISRAELI_PEOPLE,1,0.11
Centre / Majorite,ISRAELI_VICTIMS,1,0.11
Centre / Majorite,ISRAEL_ARMY,14,1.53
Centre / Majorite,ISRAEL_COLONISTS,2,0.22
Centre / Majorite,ISRAEL_COMPANIES,1,0.11
Centre / Majorite,ISRAEL_GOV,85,9.27
Centre / Majorite,ISRAEL_TERROR_VICTIMS,1,0.11
Centre / Majorite,ISRAEL_VICTIMS,2,0.22
Centre / Majorite,ISRAËL,1,0.11
Centre / Majorite,JEAN-LUC MÉLENCHON,2,0.22
Centre / Majorite,JLMELENCHON,1,0.11
Centre / Majorite,JN_BARROT,1,0.11
Centre / Majorite,JUDEO-BRETAGNE,1,0.11
Centre / Majorite,LAYLA_NAFFA,1,0.11
Centre / Majorite,LA_FRANCE_INSOUMISE,5,0.55
Centre / Majorite,LE_PEN,1,0.11
Centre / Majorite,LFI,24,2.62
Centre / Majorite,LOUIS_BOYARD,1,0.11
Centre / Majorite,MACRON,1,0.11
Centre / Majorite,MAHMOUD_ABBAS,1,0.11
Centre / Majorite,MATHILDE PANOT,1,0.11
Centre / Majorite,MATHILDE_PANOT,1,0.11
Centre / Majorite,MELECHON,1,0.11
Centre / Majorite,MONDE,1,0.11
Centre / Majorite,MOTAZ_AZAIZA,1,0.11
Centre / Majorite,MÉLENCHON,3,0.33
Centre / Majorite,NATIONS_UNIES,2,0.22
Centre / Majorite,NETANYAHOU,3,0.33
Centre / Majorite,NETANYAHU,1,0.11
Centre / Majorite,NUPES,1,0.11
Centre / Majorite,OBONO,1,0.11
Centre / Majorite,OLIVIER_FAURE,1,0.11
Centre / Majorite,ONG_FRANCES_POUR_LA_PALESTINE,1,0.11
Centre / Majorite,ONU,2,0.22
Centre / Majorite,OPPOSANTS,1,0.11
Centre / Majorite,OPPOSITION,2,0.22
Centre / Majorite,OTAGES,4,0.44
Centre / Majorite,OTAGES_FRANCAIS,1,0.11
Centre / Majorite,OTHER_DEP,1,0.11
Centre / Majorite,PALESTINE,2,0.22
Centre / Majorite,PALESTINE_VAINCRA,1,0.11
Centre / Majorite,PALESTINIANS,4,0.44
Centre / Majorite,PALESTINIAN_CAUSE,1,0.11
Centre / Majorite,PALESTINIENS,1,0.11
Centre / Majorite,PANOT,1,0.11
Centre / Majorite,PARTI_OPPOSANT,1,0.11
Centre / Majorite,PEUPLE_ISRAELIEN,4,0.44
Centre / Majorite,PEUPLE_ISRAÉLIEN,1,0.11
Centre / Majorite,PLATEFORME_ONG_FRANCE,1,0.11
Centre / Majorite,REIMS_PREFECTURE,1,0.11
Centre / Majorite,RIMA HAS,1,0.11
Centre / Majorite,RIMA HASSAN,1,0.11
Centre / Majorite,RIMA_HAS,3,0.33
Centre / Majorite,RIMA_HASSAN,2,0.22
Centre / Majorite,"RN, LFI",1,0.11
Centre / Majorite,Rassemblement National,1,0.11
Centre / Majorite,SAMIDOUN,1,0.11
Centre / Majorite,SOPHIAARAM,1,0.11
Centre / Majorite,TERRORISM,3,0.33
Centre / Majorite,TERRORISME,2,0.22
Centre / Majorite,TERRORISTS,1,0.11
Centre / Majorite,TWEETERS_OPPOSITION,1,0.11
Centre / Majorite,UNRWA,2,0.22
Centre / Majorite,UN_SECURITY_COUNCIL,1,0.11
Centre / Majorite,USA_GOV,1,0.11
Centre / Majorite,VICTIMES_CIVILES,2,0.22
Centre / Majorite,VILLEPIN,1,0.11
Centre / Majorite,YAEL_BRAUN_PIVET,1,0.11
Centre / Majorite,YAHYA_SINWAR,1,0.11
Centre / Majorite,ÉTAT_DE_PALESTINE,2,0.22
Droite,#Hamas,1,0.12
Droite,AFP,3,0.35
Droite,ALeaument,1,0.12
Droite,ANTISEMITISM,4,0.47
Droite,ANTISEMITISME,1,0.12
Droite,ANTISIONISME,1,0.12
Droite,ANTISÉMITISME,2,0.24
Droite,ANTI_SIONISME,1,0.12
Droite,ARABES,1,0.12
Droite,ARTISTES_SPORTIFS,1,0.12
Droite,BARDALLA,1,0.12
Droite,BRAUN_PIVET,1,0.12
Droite,BRITISH_LEADER,1,0.12
Droite,CARONAYMERICO,1,0.12
Droite,CGT,1,0.12
Droite,CGT_LFI,1,0.12
Droite,CIVILS_GAZA,1,0.12
Droite,CIVILS_RAFAH,1,0.12
Droite,CLEMM_AUTAIN,1,0.12
Droite,COMMUNAUTÉ_JUIVE,1,0.12
Droite,COQUEREL,1,0.12
Droite,CPI,2,0.24
Droite,DEPUTEE_OBONO,1,0.12
Droite,ECOLOGISTS_LFI,1,0.12
Droite,EDWY_PLENEL,3,0.35
Droite,EELV,1,0.12
Droite,EMMANUEL FERNANDES,1,0.12
Droite,EMMANUEL_MACRON,2,0.24
Droite,EU,1,0.12
Droite,EUROPEAN_UNION,1,0.12
Droite,EXTREME_GAUCHE,12,1.41
Droite,EXTRÊME_GAUCHE,2,0.24
Droite,FABIEN,1,0.12
Droite,FRANCE,1,0.12
Droite,FRANCE_GOV,12,1.41
Droite,FRANCE_INSOUMISE,10,1.18
Droite,FRANCE_INTIFADA,1,0.12
Droite,F_ALBANESE,1,0.12
Droite,GAUCHE,10,1.18
Droite,GAUCHE_GAUCHISTE,1,0.12
Droite,GAUCHE_NUPES,1,0.12
Droite,GAUCHE_RADICALE,1,0.12
Droite,GAUCHISME,1,0.12
Droite,GAZA,3,0.35
Droite,GERARD_LARCHER,1,0.12
Droite,GOUVERNEMENT,3,0.35
Droite,GOUVERNEMENTS_FRANCAIS,1,0.12
Droite,GOUVERNEMENT_FRA,1,0.12
Droite,GOUVERNEMENT_FRANCAIS,4,0.47
Droite,GOUVERNEMENT_FRANÇAIS,2,0.24
Droite,GOUVERNEMENT_GRECE,1,0.12
Droite,GRETA_THUNBERG,1,0.12
Droite,GROSDIDIER,1,0.12
Droite,GUILLAME_MEURICE,1,0.12
Droite,GUIRAUDIND,1,0.12
Droite,HADRIE_CLUOET,1,0.12
Droite,HAMAS,291,34.24
Droite,HATERS,1,0.12
Droite,HOSTAGES,1,0.12
Droite,IEP_STRASBOURG,1,0.12
Droite,INSOUMIS,1,0.12
Droite,IRAN,11,1.29
Droite,ISLAM,1,0.12
Droite,ISLAMIC_REPUBLIC,1,0.12
Droite,ISLAMISM,4,0.47
Droite,ISLAMISME,4,0.47
Droite,ISLAMISTES,2,0.24
Droite,ISLAMISTS,2,0.24
Droite,ISLAMO-GAUCHE,1,0.12
Droite,ISLAMO-GAUCHISME,1,0.12
Droite,ISLAMOGAUCHISTES,1,0.12
Droite,ISRAEL,83,9.76
Droite,ISRAELIS,1,0.12
Droite,ISRAELI_CIVILIANS,1,0.12
Droite,ISRAEL_ARMY,6,0.71
Droite,ISRAEL_CRITICS,1,0.12
Droite,ISRAEL_GOV,26,3.06
Droite,ISRAEL_OTAGES,1,0.12
Droite,ISRAEL_PEOPLE,1,0.12
Droite,ISRAEL_VICTIMS,1,0.12
Droite,ISRAËL,1,0.12
Droite,JEAN-LUC MÉLENCHON,2,0.24
Droite,JEAN_LUC_MELENCHON,2,0.24
Droite,JLMELENCHON,2,0.24
Droite,JUDEO-FRANCAIS,1,0.12
Droite,JUIFS,1,0.12
Droite,KARIM_B,1,0.12
Droite,KNESSSET,1,0.12
Droite,KOUCHNER,1,0.12
Droite,L'OBS,1,0.12
Droite,LA_FRANCE_INSOUMISE,5,0.59
Droite,LA_FRANCE_INSOUMMISE,1,0.12
Droite,LEFT_AND_MACRONISTS,1,0.12
Droite,LEO,1,0.12
Droite,LFI,74,8.71
Droite,LFI-NUPES,1,0.12
Droite,LFI_NUPES_NPA,1,0.12
Droite,LFI_PC,1,0.12
Droite,LJEUNE_GARDE,1,0.12
Droite,LOCAL_AUTHORITY,1,0.12
Droite,LOUIS_BOYARD,3,0.35
Droite,LR_Horizon_macronistes,1,0.12
Droite,MACRON,22,2.59
Droite,MADAME_SOUDAIS,1,0.12
Droite,MAHIEDINE MEKHISSI,1,0.12
Droite,MAIRE_ROLLOS,1,0.12
Droite,MANIFESTANTS,5,0.59
Droite,MANIFESTANTS_ANTI_ISRAEL,1,0.12
Droite,MANIFESTATIONS_PRO_HAMAS,1,0.12
Droite,MANONAUBRY,1,0.12
Droite,MARINE_TONDELIER,1,0.12
Droite,MATHIEU_HANOTIN,1,0.12
Droite,MATHILDE PANOT,1,0.12
Droite,MATHILDEPANOT,1,0.12
Droite,MAYOR_PS,1,0.12
Droite,MELENCHON,1,0.12
Droite,MElenchon,1,0.12
Droite,MINISTRE_INTERIEUR,1,0.12
Droite,MÉLENCHON,1,0.12
Droite,NETANYAHOU,2,0.24
Droite,NETANYAHU,3,0.35
Droite,NFP,1,0.12
Droite,NUPES,6,0.71
Droite,NUPES_2022_,1,0.12
Droite,OBONO,1,0.12
Droite,OLP,1,0.12
Droite,ONG_FRANCAISES,1,0.12
Droite,ONU,1,0.12
Droite,OPPOSANTS,2,0.24
Droite,OPPOSITION,2,0.24
Droite,OPPOSITION_PARLEMENTAIRE,1,0.12
Droite,OTAGES,3,0.35
Droite,OmarSy,1,0.12
Droite,PAL,1,0.12
Droite,PALESTINE,2,0.24
Droite,PALESTINIANS,6,0.71
Droite,PALESTINIAN_ORG,1,0.12
Droite,PALESTINIENS,1,0.12
Droite,PARTI_SOCIALISTE,1,0.12
Droite,PCF,1,0.12
Droite,POLICE,1,0.12
Droite,POLITIQUE_ACTUELLE,1,0.12
Droite,PORTES_THOMAS,1,0.12
Droite,PRO-PALESTINIENS,1,0.12
Droite,PROTESTERS,1,0.12
Droite,PRO_HAMAS_GROUPS,1,0.12
Droite,PS,1,0.12
Droite,QATAR,1,0.12
Droite,RADICAL_LEFT,1,0.12
Droite,RATIONALITE_NATIONALE,1,0.12
Droite,RIMA_HAS,4,0.47
Droite,RIMA_HASSAN,1,0.12
Droite,Renaissance,1,0.12
Droite,SARAH_PERSIL,1,0.12
Droite,SCIENCES_PO,1,0.12
Droite,SEBASTIEN_DELOGU,2,0.24
Droite,SERVICE_PUBLIC,1,0.12
Droite,SIGNATAIRES_DE_LA_PETITION,1,0.12
Droite,SINWAR,2,0.24
Droite,SIONISME,1,0.12
Droite,SOCIALIST_PARTY,1,0.12
Droite,TERRORISME,2,0.24
Droite,TERRORISME_ISLAMIQUE,1,0.12
Droite,THOMAS_PORTE,1,0.12
Droite,TURQUIE,1,0.12
Droite,UCSB,1,0.12
Droite,ULTRAGAUCHISTES,1,0.12
Droite,UN,2,0.24
Droite,UNRWA,2,0.24
Droite,UNWRA,1,0.12
Droite,URSLAVONDERLEYEN,1,0.12
Droite,VALENTIN_FAMILLE,1,0.12
Droite,VERTS,1,0.12
Droite,WESTERN_MEDIA,1,0.12
Droite,YAHYA_SINWAR,3,0.35
Droite,YOUCEF_ATAL,1,0.12
Droite,YUVAL_RAPHAEL,1,0.12
Droite,b_belhaddad,1,0.12
Droite,ÉTAT_FRANÇAIS,1,0.12
Droite,ÉTAT_PALESTIN,1,0.12
Gauche moderee,ANNE_HIDALGO,1,0.18
Gauche moderee,ANTI_PALESTINIENS,1,0.18
Gauche moderee,ANTOINE GUTERRES,1,0.18
Gauche moderee,AYMAN_ODEH,1,0.18
Gauche moderee,BARBARA_LEFEBVRE,1,0.18
Gauche moderee,CIVILIANS,1,0.18
Gauche moderee,CIVILS,1,0.18
Gauche moderee,CIVILS_GAZA,1,0.18
Gauche moderee,CIVILS_PALESTINIENS,1,0.18
Gauche moderee,COMMUNAUTE_JUIVE,1,0.18
Gauche moderee,CPI,2,0.36
Gauche moderee,DONALD_TRUMP,1,0.18
Gauche moderee,EMMANUEL_MACRON,7,1.27
Gauche moderee,EUROPEAN_COUNTRIES,1,0.18
Gauche moderee,EUROPEAN_PARTNERS,1,0.18
Gauche moderee,EXTREME_DROITE,1,0.18
Gauche moderee,FAMILLES_OTS,1,0.18
Gauche moderee,FRANCAIS_JEWS,1,0.18
Gauche moderee,FRANCE_EDUCATION,1,0.18
Gauche moderee,FRANCE_GOV,36,6.52
Gauche moderee,FRANCE_PUBLIC,1,0.18
Gauche moderee,FRANCOIS_BAYROU,1,0.18
Gauche moderee,FRENCH_GOV,3,0.54
Gauche moderee,GAZA,1,0.18
Gauche moderee,GAZA_CIVILIANS,1,0.18
Gauche moderee,GERALD_DARMANIN,1,0.18
Gauche moderee,GOUVERNEMENT,1,0.18
Gauche moderee,GOUVERNEMENT_FR,1,0.18
Gauche moderee,GOUVERNEMENT_FRANCAIS,2,0.36
Gauche moderee,GOUVERNEMENT_FRANÇAIS,1,0.18
Gauche moderee,GOUVERNEMENT_NETANYAHOU,1,0.18
Gauche moderee,GOVERNMENT,1,0.18
Gauche moderee,GOV_MACRONIE,1,0.18
Gauche moderee,Gaza,1,0.18
Gauche moderee,HAMAS,35,6.34
Gauche moderee,INTERNATIONAL_COMMUNITY,1,0.18
Gauche moderee,IRAN,2,0.36
Gauche moderee,ISRAEL,36,6.52
Gauche moderee,ISRAELI_SETTLERS,1,0.18
Gauche moderee,ISRAELI_VICTIMS,1,0.18
Gauche moderee,ISRAEL_ARMY,49,8.88
Gauche moderee,ISRAEL_CIVIL_SOCIETY,1,0.18
Gauche moderee,ISRAEL_COLONISTS,1,0.18
Gauche moderee,ISRAEL_COLONIZATION,1,0.18
Gauche moderee,ISRAEL_GOV,156,28.26
Gauche moderee,ISRAEL_PEACE_ACTIVISTS,1,0.18
Gauche moderee,ISRAÉLIENS,1,0.18
Gauche moderee,ISRAËL,2,0.36
Gauche moderee,JEWS,1,0.18
Gauche moderee,LFI,3,0.54
Gauche moderee,MACRON,3,0.54
Gauche moderee,MA_JAMET,1,0.18
Gauche moderee,MELECHON,1,0.18
Gauche moderee,MERAV_MICHAELI,1,0.18
Gauche moderee,MINISTERE_AFFAIRE_ETRANGERE,1,0.18
Gauche moderee,MINISTRE_INTÉRIEUR,1,0.18
Gauche moderee,NATIONAL_RALLY,1,0.18
Gauche moderee,NETANYAHOU,22,3.99
Gauche moderee,NETANYAHU,22,3.99
Gauche moderee,NIKKY_HALEY,1,0.18
Gauche moderee,ONU,1,0.18
Gauche moderee,PALESTINE,1,0.18
Gauche moderee,PALESTINIANS,5,0.91
Gauche moderee,PALESTINIENS,3,0.54
Gauche moderee,PEUPLE_PALESTINIEN,1,0.18
Gauche moderee,RN,1,0.18
Gauche moderee,SMOTRICH,1,0.18
Gauche moderee,TERRORISME,1,0.18
Gauche moderee,TRUMP,4,0.72
Gauche moderee,UNRWA,4,0.72
Gauche moderee,WESTERN_LEADERS,1,0.18
Gauche moderee,YAEL_BRAUN_PIVET,1,0.18
Gauche moderee,ÉTAT_FRANÇAIS,1,0.18
Gauche radicale,ALAIN_SORAL,1,0.03
Gauche radicale,ALL_PARTIES,1,0.03
Gauche radicale,AL_PETEL,1,0.03
Gauche radicale,AMERICANS,1,0.03
Gauche radicale,ANTISEMITISM,7,0.2
Gauche radicale,ANTI_GENOCIDE_DISC,1,0.03
Gauche radicale,ANTI_SEMITISM,1,0.03
Gauche radicale,ARIEL_WEIL,1,0.03
Gauche radicale,ARTHUR,1,0.03
Gauche radicale,ASSEMBLEE_NATIONALE,12,0.33
Gauche radicale,ASTRID_PANOSYAN,1,0.03
Gauche radicale,ATTAL,1,0.03
Gauche radicale,AUDIOSVISUEL_PUBLIC,1,0.03
Gauche radicale,AURORE_BERGE,6,0.17
Gauche radicale,Aurore Bergé,1,0.03
Gauche radicale,B.RETAILLEAU,1,0.03
Gauche radicale,BAHLOUL,1,0.03
Gauche radicale,BARDELLA,1,0.03
Gauche radicale,BARDLLA,2,0.06
Gauche radicale,BAYROU,1,0.03
Gauche radicale,BAYROU_MACRON,1,0.03
Gauche radicale,BENJAMIN_NETANYAHOU,1,0.03
Gauche radicale,BENJAMIN_NETANYAHU,1,0.03
Gauche radicale,BENOIT_PAYAN,1,0.03
Gauche radicale,BENYAMIN NETANYAHOU,1,0.03
Gauche radicale,BENYAMIN_NETANYAHOU,4,0.11
Gauche radicale,BENYAMIN_NETANYAHU,1,0.03
Gauche radicale,BERGE,2,0.06
Gauche radicale,BERNARD-HENRY_LEVY,1,0.03
Gauche radicale,BETAR,1,0.03
Gauche radicale,BEZALEL_SMOTRICH,1,0.03
Gauche radicale,BFM,2,0.06
Gauche radicale,BHL,3,0.08
Gauche radicale,BLAME_ISRAEL,1,0.03
Gauche radicale,BLANCHE_GARDIN,1,0.03
Gauche radicale,BNP_PARIBAS,1,0.03
Gauche radicale,BOCCALETTI,1,0.03
Gauche radicale,BORIS_VALLAUD,1,0.03
Gauche radicale,BRAUN-PIVET,2,0.06
Gauche radicale,BRENOUL,1,0.03
Gauche radicale,BRUNO RETAILLEAU,1,0.03
Gauche radicale,BRUNO_RETAILLEAU,4,0.11
Gauche radicale,B_NETANYAHOU,1,0.03
Gauche radicale,Bardella,1,0.03
Gauche radicale,Berge,1,0.03
Gauche radicale,CAROLE DELGA,2,0.06
Gauche radicale,CAROLINEYADAN,1,0.03
Gauche radicale,CAROLINE_FOUREST,1,0.03
Gauche radicale,CAROLINE_YADAN,2,0.06
Gauche radicale,CARONAYMERICO,1,0.03
Gauche radicale,CAZENEUVE,1,0.03
Gauche radicale,CECCHIO,1,0.03
Gauche radicale,CGT,1,0.03
Gauche radicale,CHANSONNIER,1,0.03
Gauche radicale,CHARLIE_HEBDO,1,0.03
Gauche radicale,CIJ,1,0.03
Gauche radicale,CIVILIANS_GAZA,1,0.03
Gauche radicale,CIVILIAN_BOMBING,1,0.03
Gauche radicale,CIVILS_GAZA,2,0.06
Gauche radicale,CIVILS_PAL,1,0.03
Gauche radicale,CIVIL_POPULATION,1,0.03
Gauche radicale,CLASSE_POLITIQUE,1,0.03
Gauche radicale,CNEWS,2,0.06
Gauche radicale,COLIN POWELL,1,0.03
Gauche radicale,COLONIAL_SYSTEMS,1,0.03
Gauche radicale,COLONIES,1,0.03
Gauche radicale,COLONS,1,0.03
Gauche radicale,COMMUNAUTE_INTERNATIONALE,1,0.03
Gauche radicale,COMPETITORS,1,0.03
Gauche radicale,CRIF,6,0.17
Gauche radicale,CRITICS,1,0.03
Gauche radicale,CRITICS_OF_ISRAEL,1,0.03
Gauche radicale,CRITIQUES_DE_GAUCHE,1,0.03
Gauche radicale,CRITIQUES_GOUVERNEMENT,1,0.03
Gauche radicale,CUOMO,1,0.03
Gauche radicale,Collectif_Golem,1,0.03
Gauche radicale,CÉLINE_PINA,1,0.03
Gauche radicale,DARMIN,1,0.03
Gauche radicale,DAVID_AZOULAY,1,0.03
Gauche radicale,DELGA,1,0.03
Gauche radicale,DEPUTE CRITIQUE,1,0.03
Gauche radicale,DEPUTEE_CRITIQUEE,1,0.03
Gauche radicale,DEPUTEE_ISRAEL,1,0.03
Gauche radicale,DEPUTEE_OBONO,1,0.03
Gauche radicale,DEPUTEE_SOUTIEN_NETANYAHU,1,0.03
Gauche radicale,DEPUTES,1,0.03
Gauche radicale,DEPUTES_APOLOGIE_GENOCIDE,1,0.03
Gauche radicale,DROITE,2,0.06
Gauche radicale,DROITE_ET_EXTRÊME-DROITE,1,0.03
Gauche radicale,DROITE_EXTREME_DROITE,1,0.03
Gauche radicale,DROITE_FR,1,0.03
Gauche radicale,DR_ABU_SAFIYA,1,0.03
Gauche radicale,DR_HUSSAM_ABU_SAFIYA,1,0.03
Gauche radicale,DUPOND-MORETTI,1,0.03
Gauche radicale,D_TRUMP,1,0.03
Gauche radicale,EDOUARD_PHILIPPE,1,0.03
Gauche radicale,EELV,1,0.03
Gauche radicale,EGYPTE_JORDANIE_ARABIE_SAUDITE,1,0.03
Gauche radicale,EGYPTIAN_AUTH,1,0.03
Gauche radicale,ELISABETH_BORNE,1,0.03
Gauche radicale,ELNET,2,0.06
Gauche radicale,EMMANUEL_MACRON,28,0.78
Gauche radicale,ENW,1,0.03
Gauche radicale,ERDOGAN,1,0.03
Gauche radicale,ESPAGNE_GOV,1,0.03
Gauche radicale,ETATS-UNIS,1,0.03
Gauche radicale,ETATS_UNIS,4,0.11
Gauche radicale,ETAT_DE_PALESTINE,1,0.03
Gauche radicale,ETAT_FRANCAIS,1,0.03
Gauche radicale,ETUDIANTS,1,0.03
Gauche radicale,EU,2,0.06
Gauche radicale,EUJF,1,0.03
Gauche radicale,EURODEPTEURS,1,0.03
Gauche radicale,EURODEPUTES_RENAISSANCE,1,0.03
Gauche radicale,EUROPE,1,0.03
Gauche radicale,EUROPEAN_COUNTRIES,1,0.03
Gauche radicale,EUROPEAN_ELECTED_OFFICIALS,1,0.03
Gauche radicale,EUROPEAN_LEADERS,2,0.06
Gauche radicale,EUROPEAN_PARLIAMENT,1,0.03
Gauche radicale,EUROPEAN_UNION,1,0.03
Gauche radicale,EU_FRANCE,1,0.03
Gauche radicale,EU_LEADERS,1,0.03
Gauche radicale,EXTREME-DROITE,2,0.06
Gauche radicale,EXTREME_DROITE,7,0.2
Gauche radicale,EXTREME_RIGHT,9,0.25
Gauche radicale,EXTRÊME_DROITE_ISRAÉLIENNE,1,0.03
Gauche radicale,EYAL GOLAN,1,0.03
Gauche radicale,EYAL_GOLAN,1,0.03
Gauche radicale,ErsiliaSoudais,1,0.03
Gauche radicale,FACEBOOK_INSTAGRAM,1,0.03
Gauche radicale,FAMILLES_DES_DISPARUS,1,0.03
Gauche radicale,FASCISM,1,0.03
Gauche radicale,FASCISTES,1,0.03
Gauche radicale,FASCIST_ORGANIZATIONS,1,0.03
Gauche radicale,FESNEAU,1,0.03
Gauche radicale,FRANCE,1,0.03
Gauche radicale,FRANCEINFO,2,0.06
Gauche radicale,FRANCE_ARTISTS,1,0.03
Gauche radicale,FRANCE_ELECTED,1,0.03
Gauche radicale,FRANCE_GOV,223,6.22
Gauche radicale,FRANCE_INFO,2,0.06
Gauche radicale,FRANCE_INSOUMISE,2,0.06
Gauche radicale,FRANCE_MEDIA,1,0.03
Gauche radicale,FRANCE_MEDIAS,1,0.03
Gauche radicale,FRANCE_PARLIAMENT,1,0.03
Gauche radicale,FRANCE_POLICE,1,0.03
Gauche radicale,FRANCE_POLITICAL_CLASS,1,0.03
Gauche radicale,FRANCE_PRESIDENCE,1,0.03
Gauche radicale,FRANCE_PUBLIC,1,0.03
Gauche radicale,FRANCE_SOCIETY,1,0.03
Gauche radicale,FRANCK_ALLISIO,1,0.03
Gauche radicale,FRANCOIS_BAYROU,1,0.03
Gauche radicale,FRANCOIS_RUFFIN,1,0.03
Gauche radicale,FREDERICENCEL,1,0.03
Gauche radicale,FRENCH_GOV,9,0.25
Gauche radicale,FRENCH_GOVERNMENT,1,0.03
Gauche radicale,GABRIEL_ATTAL,3,0.08
Gauche radicale,GAZA,7,0.2
Gauche radicale,GAZA_CIVILIANS,2,0.06
Gauche radicale,GAZA_POPULATION,1,0.03
Gauche radicale,GDARMANIN,1,0.03
Gauche radicale,GENOCIDE,1,0.03
Gauche radicale,GERALD_DARMANIN,1,0.03
Gauche radicale,GERMANY,1,0.03
Gauche radicale,GLUCKSMANN,4,0.11
Gauche radicale,GOLDNADEL,3,0.08
Gauche radicale,GOUVERNANTS,2,0.06
Gauche radicale,GOUVERNEMENT,15,0.42
Gauche radicale,GOUVERNEMENTS,2,0.06
Gauche radicale,GOUVERNEMENT_FR,6,0.17
Gauche radicale,GOUVERNEMENT_FRA,1,0.03
Gauche radicale,GOUVERNEMENT_FRANCAIS,26,0.73
Gauche radicale,GOUVERNEMENT_FRANÇAIS,5,0.14
Gauche radicale,GOUVERNEMENT_ISRAEL,1,0.03
Gauche radicale,GOUVERNEMENT_ISRAELIEN,2,0.06
Gauche radicale,GOUVERNEMENT_ISRAÉLIEN,1,0.03
Gauche radicale,GOUVERNEMENT_MACRON,1,0.03
Gauche radicale,GOUVERNEMENT_RU,1,0.03
Gauche radicale,GOVERNMENT,4,0.11
Gauche radicale,GOV_FRANCE,1,0.03
Gauche radicale,GOV_ISRAEL,1,0.03
Gauche radicale,GREECE,1,0.03
Gauche radicale,Gaza,4,0.11
Gauche radicale,GazaFFlotilla,3,0.08
Gauche radicale,GeWoessner,1,0.03
