author,stance_initial,stance_final,delta_individuel,bloc,mover_type,rupture_date
Ersilia Soudais,1.4285714285714286,1.8888888888888888,0.46031746031746024,Gauche radicale,non_mover,
Erwan Balanant,-1.5,1.0,2.5,Centre / Majorite,fort,
Fabien Roussel,1.4,1.6578947368421053,0.2578947368421054,Gauche radicale,non_mover,
Florian Chauche,1.5,0.6666666666666666,-0.8333333333333334,Gauche radicale,modere,
Franck Riester,-1.0,-1.0,0.0,Centre / Majorite,non_mover,
François Cormier-Bouligeon,-1.2,-1.3333333333333333,-0.1333333333333333,Centre / Majorite,non_mover,
François Piquemal,1.0,1.6363636363636365,0.6363636363636365,Gauche radicale,non_mover,
François Ruffin,1.2222222222222223,1.8,0.5777777777777777,Gauche moderee,non_mover,
Frédéric Valletoux,-1.0,-2.0,-1.0,Centre / Majorite,modere,
Gabriel Amard,1.3333333333333333,1.5588235294117647,0.22549019607843146,Gauche radicale,non_mover,
Guillaume Bigot,-1.5714285714285714,-1.0,0.5714285714285714,Droite,non_mover,
Gérald Darmanin,-1.0,-1.0,0.0,Centre / Majorite,non_mover,
Hadrien Clouet,1.3703703703703705,1.3114754098360655,-0.058894960534304985,Gauche radicale,non_mover,
Hervé de Lépinau,-1.625,-2.0,-0.375,Droite,non_mover,
Hélène Laporte,-1.2,-1.25,-0.050000000000000044,Droite,non_mover,
Ian Boucard,-1.0,0.0,1.0,Droite,modere,
Isabelle Santiago,-1.0,0.0,1.0,Gauche moderee,modere,
Jean-Claude Raux,0.5,1.6,1.1,Gauche moderee,modere,
Jean-François Coulomme,1.1875,1.5873015873015872,0.3998015873015872,Gauche radicale,non_mover,
Jean-Philippe Tanguy,-1.6666666666666667,-1.0,0.6666666666666667,Droite,non_mover,
Jean-René Cazeneuve,-1.0,-1.3333333333333333,-0.33333333333333326,Centre / Majorite,non_mover,
Julien Odoul,-1.75,-1.7307692307692308,0.019230769230769162,Droite,non_mover,
Jérôme Buisson,-1.4318181818181819,-1.5172413793103448,-0.08542319749216287,Droite,non_mover,
Jérôme Guedj,0.0,-0.15384615384615385,-0.15384615384615385,Gauche moderee,non_mover,
Jérôme Legavre,1.5675675675675675,1.6216216216216217,0.05405405405405417,Gauche radicale,non_mover,
Kévin Mauvieux,-1.0,-1.75,-0.75,Droite,non_mover,
Laurent Croizier,-1.4,-0.25,1.15,Centre / Majorite,modere,
Laurent Jacobelli,-1.2222222222222223,-1.4,-0.1777777777777776,Droite,non_mover,
Louis Boyard,1.7777777777777777,1.8064516129032258,0.028673835125448077,Gauche radicale,non_mover,
Loïc Kervran,0.5,-1.0,-1.5,Centre / Majorite,modere,
M. Antoine Léaument,1.0,1.0,0.0,Gauche radicale,non_mover,
M. Arnaud Le Gall,1.0,0.3333333333333333,-0.6666666666666667,Gauche radicale,non_mover,
M. Aurélien Saintoul,0.0,0.5,0.5,Gauche radicale,non_mover,
M. Aymeric Caron,0.0,0.8571428571428571,0.8571428571428571,Gauche radicale,modere,
M. David Guiraud,2.0,-0.3333333333333333,-2.3333333333333335,Gauche radicale,fort,
M. Erwan Balanant,-1.0,1.0,2.0,Centre / Majorite,fort,
M. François Piquemal,-2.0,-2.0,0.0,Gauche radicale,non_mover,
M. Jean-Paul Lecoq,1.7142857142857142,1.4545454545454546,-0.2597402597402596,Gauche radicale,non_mover,
M. Jean-Philippe Tanguy,-2.0,-1.0,1.0,Droite,modere,
M. Julien Odoul,-2.0,-1.7333333333333334,0.2666666666666666,Droite,non_mover,
M. Jérémie Patrier-Leitus,-1.3333333333333333,-1.3529411764705883,-0.019607843137255054,Centre / Majorite,non_mover,
M. Jérôme Guedj,0.3333333333333333,0.0,-0.3333333333333333,Gauche moderee,non_mover,
M. Jérôme Legavre,1.25,1.5,0.25,Gauche radicale,non_mover,
M. Laurent Jacobelli,-1.5,-2.0,-0.5,Droite,non_mover,
M. Louis Boyard,1.0,0.8571428571428571,-0.1428571428571429,Gauche radicale,non_mover,
M. Mathieu Lefèvre,-1.6666666666666667,-1.5,0.16666666666666674,Centre / Majorite,non_mover,
M. Nicolas Turquois,1.0,1.25,0.25,Centre / Majorite,non_mover,
M. Olivier Faure,0.0,0.0,0.0,Gauche moderee,non_mover,
M. Pierre Meurin,2.0,-1.0,-3.0,Droite,fort,
M. Pieyre-Alexandre Anglade,-0.25,0.0,0.25,Centre / Majorite,non_mover,
M. Sylvain Maillard,-1.4,-1.0,0.3999999999999999,Centre / Majorite,non_mover,
M. Sébastien Chenu,-2.0,-1.75,0.25,Droite,non_mover,
M. Sébastien Delogu,0.75,2.0,1.25,Gauche radicale,modere,
M. Thomas Portes,-2.0,2.0,4.0,Gauche radicale,fort,
M. Éric Ciotti,-2.0,-1.25,0.75,Droite,non_mover,
Manuel Bompard,1.3584905660377358,1.446808510638298,0.08831794460056219,Gauche radicale,non_mover,
Marie Lebec,-1.5,0.25,1.75,Centre / Majorite,fort,
Marie Mesmeur,2.0,1.8333333333333333,-0.16666666666666674,Gauche radicale,non_mover,
Marie Pochon,0.4166666666666667,1.0,0.5833333333333333,Gauche moderee,non_mover,
Marine Le Pen,-0.9090909090909091,-1.3636363636363635,-0.4545454545454545,Droite,non_mover,
Mathilde Panot,1.7777777777777777,1.7171717171717171,-0.06060606060606055,Gauche radicale,non_mover,
Matthias Tavel,1.5555555555555556,1.7857142857142858,0.23015873015873023,Gauche radicale,non_mover,
Matthieu Marchio,-1.3333333333333333,-1.0,0.33333333333333326,Droite,non_mover,
Maxime Michelet,-1.0,-1.0,0.0,Droite,non_mover,
Michel Barnier,-1.0,-0.8,0.19999999999999996,Droite,non_mover,
Michel Guiniot,-1.0,-1.0,0.0,Droite,non_mover,
Michèle Tabarot,-1.3,-1.1818181818181819,0.11818181818181817,Droite,non_mover,
Mme Alma Dufour,1.6666666666666667,1.8,0.1333333333333333,Gauche radicale,non_mover,
Mme Caroline Yadan,-1.2857142857142858,-1.588235294117647,-0.30252100840336116,Centre / Majorite,non_mover,
Mme Constance Le Grip,-1.5,0.0,1.5,Centre / Majorite,modere,
Mme Cyrielle Chatelain,1.125,0.8,-0.32499999999999996,Gauche moderee,non_mover,
Mme Elsa Faucillon,1.6666666666666667,2.0,0.33333333333333326,Gauche radicale,non_mover,
Mme Marine Le Pen,-0.8333333333333334,-1.0,-0.16666666666666663,Droite,non_mover,
Mme Mathilde Panot,1.4848484848484849,1.5,0.015151515151515138,Gauche radicale,non_mover,
Mme Michèle Tabarot,-1.4,-1.0,0.3999999999999999,Droite,non_mover,
Mme Sabrina Sebaihi,1.6666666666666667,1.8,0.1333333333333333,Gauche moderee,non_mover,
Mme Sandrine Rousseau,1.25,-2.0,-3.25,Gauche moderee,fort,
Mme Sophie Taillé-Polian,1.5,-0.5,-2.0,Gauche moderee,fort,
Nadège Abomangoli,1.5161290322580645,1.641025641025641,0.12489660876757647,Gauche radicale,non_mover,
Natalia Pouzyreff,-1.0909090909090908,-1.0,0.09090909090909083,Centre / Majorite,non_mover,
Nathalie Oziol,1.5625,1.7027027027027026,0.14020270270270263,Gauche radicale,non_mover,
Olivier Faure,0.5681818181818182,1.0277777777777777,0.45959595959595945,Gauche moderee,non_mover,
Patrick Hetzel,-1.0,-1.0,0.0,Droite,non_mover,
Paul Vannier,1.6428571428571428,1.7142857142857142,0.0714285714285714,Gauche radicale,non_mover,
Philippe Ballard,-1.2,-1.25,-0.050000000000000044,Droite,non_mover,
Philippe Brun,-0.5,0.5454545454545454,1.0454545454545454,Gauche moderee,modere,
Philippe Gosselin,-1.4,-1.0,0.3999999999999999,Droite,non_mover,
Philippe Juvin,-1.0,-1.1666666666666667,-0.16666666666666674,Droite,non_mover,
Philippe Schreck,-2.0,-1.5,0.5,Droite,non_mover,
Pierre Cazeneuve,-1.0,1.0,2.0,Centre / Majorite,fort,
Pierre-Henri Dumont,-1.0,-1.3333333333333333,-0.33333333333333326,Droite,non_mover,
Pierre-Yves Cadalen,1.3333333333333333,1.4745762711864407,0.1412429378531075,Gauche radicale,non_mover,
Raphaël Arnault,1.542857142857143,1.736842105263158,0.19398496240601504,Gauche radicale,non_mover,
René Pilato,0.8571428571428571,1.608695652173913,0.751552795031056,Gauche radicale,non_mover,
Roger Chudeau,-2.0,-2.0,0.0,Droite,non_mover,
Sabrina Sebaihi,0.6666666666666666,1.3636363636363635,0.6969696969696969,Gauche moderee,non_mover,
Sarah Legrain,1.5,1.8928571428571428,0.3928571428571428,Gauche radicale,non_mover,
Soumya Bourouaha,1.5,1.5714285714285714,0.0714285714285714,Gauche radicale,non_mover,
Stéphane Peu,0.8333333333333334,1.3,0.4666666666666667,Gauche radicale,non_mover,
Sylvain Maillard,-1.2,-1.375,-0.17500000000000004,Centre / Majorite,non_mover,
Sébastien Chenu,-1.5416666666666667,-1.44,0.1016666666666668,Droite,non_mover,
Sébastien Delogu,1.8571428571428572,1.7857142857142858,-0.0714285714285714,Gauche radicale,non_mover,
Ségolène Amiot,1.6666666666666667,1.85,0.18333333333333335,Gauche radicale,non_mover,
Thomas Portes,1.75,1.865612648221344,0.11561264822134398,Gauche radicale,non_mover,
Théo Bernhardt,-1.4545454545454546,-1.25,0.20454545454545459,Droite,non_mover,
Ugo Bernalicis,1.4,1.6538461538461537,0.25384615384615383,Gauche radicale,non_mover,
Violette Spillebout,0.0,0.0,0.0,Centre / Majorite,non_mover,
Éric Bothorel,-0.6538461538461539,-0.72,-0.06615384615384612,Centre / Majorite,non_mover,
Éric Ciotti,-1.5,-1.7272727272727273,-0.2272727272727273,Droite,non_mover,
Éric Coquerel,1.4,1.5925925925925926,0.19259259259259265,Gauche radicale,non_mover,
Éric Pauget,-1.6666666666666667,-1.5,0.16666666666666674,Droite,non_mover,
