bloc,word,z,arena_favorisee
Gauche moderee,cours,3.478463804095428,Twitter
Gauche moderee,ont,-3.4529126454690933,AN
Gauche moderee,nos,-3.4249785966278847,AN
Gauche moderee,palestinien,3.423445259426565,Twitter
Gauche moderee,allez,-3.421285095572297,AN
Gauche moderee,même,-3.4100713130725784,AN
Centre / Majorite,vous,-9.04775989238604,AN
Centre / Majorite,ministre,-6.292287784648381,AN
Centre / Majorite,hamas,6.225881259753734,Twitter
Centre / Majorite,otages,5.394417326735027,Twitter
Centre / Majorite,nous,-4.894023255611586,AN
Centre / Majorite,que,-4.62671179243399,AN
Centre / Majorite,premier,-4.62545359514204,AN
Centre / Majorite,j,4.509723244658129,Twitter
Centre / Majorite,pour,4.167334954708392,Twitter
Centre / Majorite,avez,-4.165223160227053,AN
Centre / Majorite,humanitaire,-4.1497376743265715,AN
Centre / Majorite,antisémitisme,-4.083937509508805,AN
Centre / Majorite,supérieur,-4.068627723448564,AN
Centre / Majorite,affaires,-4.049302698657418,AN
Centre / Majorite,université,-3.8968086876926185,AN
Centre / Majorite,été,-3.837936487079517,AN
Centre / Majorite,enseignement,-3.835065852694931,AN
Centre / Majorite,étrangères,-3.8031239587143975,AN
Centre / Majorite,monsieur,-3.7784628424013023,AN
Centre / Majorite,terroristes,3.75620032891367,Twitter
Centre / Majorite,victimes,3.729482569963894,Twitter
Centre / Majorite,madame,-3.708665999109694,AN
Centre / Majorite,insoumise,-3.657292990690608,AN
Centre / Majorite,a,-3.6521178599142905,AN
Centre / Majorite,aujourd,3.6374408231283315,Twitter
Centre / Majorite,hui,3.6374408231283315,Twitter
Centre / Majorite,mme,-3.6105078047681025,AN
Centre / Majorite,devons,-3.608539731527595,AN
Centre / Majorite,ai,3.601842435886094,Twitter
Centre / Majorite,dans,-3.591237448115037,AN
Droite,hamas,9.447881627831304,Twitter
Droite,vous,-8.486762028213857,AN
Droite,que,-7.215580679543791,AN
Droite,du,5.362430908967289,Twitter
Droite,nous,-5.213519892695623,AN
Droite,terroristes,5.112720479361997,Twitter
Droite,otages,5.062142420267565,Twitter
Droite,elle,-4.687766672643245,AN
Droite,terroriste,4.673138260235673,Twitter
Droite,lfi,4.661273768779885,Twitter
Droite,avez,-4.614246551468504,AN
Droite,aux,4.479450699843227,Twitter
Droite,dans,-4.298914974595958,AN
Droite,étudiants,-4.105476944048768,AN
Droite,ou,-4.0718958996703485,AN
Droite,soutien,4.028537653772237,Twitter
Droite,madame,-4.004007616589296,AN
Droite,victimes,3.9481036177106112,Twitter
Droite,ministre,-3.925912896501802,AN
Droite,votre,-3.817835419847712,AN
Droite,terrorisme,3.7668740948360013,Twitter
Droite,face,3.7310626014409856,Twitter
Droite,s,-3.724677609100581,AN
Droite,familles,3.6697888481963057,Twitter
Droite,texte,-3.5851761908663393,AN
Droite,loi,-3.572716157923321,AN
Droite,palestine,3.4522472749726316,Twitter
Droite,barbarie,3.376163813266471,Twitter
Droite,islamiste,3.3284655472717697,Twitter
Droite,m,-3.2960952216617136,AN
