month,pair,wd_norm
2025-03,Gauche radicale vs Centre / Majorite,0.5318444413132309
2025-03,Gauche radicale vs Droite,0.6985543530931998
2025-03,Gauche moderee vs Centre / Majorite,0.4447399527186761
2025-03,Gauche moderee vs Droite,0.611449864498645
2025-03,Centre / Majorite vs Droite,0.16826673585884797
2025-04,Gauche radicale vs Gauche moderee,0.20201863354037267
2025-04,Gauche radicale vs Centre / Majorite,0.5509197324414715
2025-04,Gauche radicale vs Droite,0.8017210144927537
2025-04,Gauche moderee vs Centre / Majorite,0.3489010989010989
2025-04,Gauche moderee vs Droite,0.5997023809523809
2025-04,Centre / Majorite vs Droite,0.25080128205128205
2025-05,Gauche radicale vs Gauche moderee,0.1723948220064725
2025-05,Gauche radicale vs Centre / Majorite,0.5112472810228659
2025-05,Gauche radicale vs Droite,0.7673948220064725
2025-05,Gauche moderee vs Centre / Majorite,0.3388524590163934
2025-05,Gauche moderee vs Droite,0.595
2025-05,Centre / Majorite vs Droite,0.2561475409836066
2025-06,Gauche radicale vs Gauche moderee,0.1896369573568959
2025-06,Gauche radicale vs Centre / Majorite,0.548845330984143
2025-06,Gauche radicale vs Droite,0.7552937775529378
2025-06,Gauche moderee vs Centre / Majorite,0.36377041742286753
2025-06,Gauche moderee vs Droite,0.5702188639916623
2025-06,Centre / Majorite vs Droite,0.2064484465687948
2025-07,Gauche radicale vs Gauche moderee,0.09164265129682996
2025-07,Gauche radicale vs Centre / Majorite,0.5865018127730779
2025-07,Gauche radicale vs Droite,0.7905235974400239
2025-07,Gauche moderee vs Centre / Majorite,0.5193548387096775
2025-07,Gauche moderee vs Droite,0.7233766233766233
2025-07,Centre / Majorite vs Droite,0.20402178466694595
2025-08,Gauche radicale vs Gauche moderee,0.17185039370078742
2025-08,Gauche radicale vs Centre / Majorite,0.7286276715410573
2025-08,Gauche radicale vs Droite,0.8747315676449535
2025-08,Gauche moderee vs Centre / Majorite,0.5607142857142857
2025-08,Gauche moderee vs Droite,0.7068181818181818
2025-08,Centre / Majorite vs Droite,0.14610389610389612
2025-09,Gauche radicale vs Gauche moderee,0.16977392460743695
2025-09,Gauche radicale vs Centre / Majorite,0.4642857142857143
2025-09,Gauche radicale vs Droite,0.7477203647416413
2025-09,Gauche moderee vs Centre / Majorite,0.3032581453634085
2025-09,Gauche moderee vs Droite,0.5866927958193355
2025-09,Centre / Majorite vs Droite,0.29407294832826747
2025-10,Gauche radicale vs Gauche moderee,0.4365384615384615
2025-10,Gauche radicale vs Centre / Majorite,0.6834682860998651
2025-10,Gauche radicale vs Droite,0.6865384615384615
2025-10,Gauche moderee vs Centre / Majorite,0.2469298245614035
2025-10,Gauche moderee vs Droite,0.25
2025-10,Centre / Majorite vs Droite,0.032017543859649104
2025-11,Gauche radicale vs Gauche moderee,0.25964043772798334
2025-11,Gauche radicale vs Centre / Majorite,0.5207920792079208
2025-11,Gauche radicale vs Droite,0.7884391380314502
2025-11,Gauche moderee vs Centre / Majorite,0.2710526315789474
2025-11,Gauche moderee vs Droite,0.5386996904024768
2025-11,Centre / Majorite vs Droite,0.26764705882352946
2025-12,Gauche radicale vs Gauche moderee,0.46872852233676976
2025-12,Gauche radicale vs Centre / Majorite,0.652061855670103
2025-12,Gauche radicale vs Droite,0.7656982193064668
2025-12,Gauche moderee vs Centre / Majorite,0.18333333333333332
2025-12,Gauche moderee vs Droite,0.29696969696969694
2025-12,Centre / Majorite vs Droite,0.11363636363636365
2026-01,Gauche radicale vs Centre / Majorite,0.4888698630136986
